local,clube_casa_id,placar_oficial_mandante
"mandante",262,14.0
"mandante",263,15.0
"mandante",264,19.0
"mandante",265,17.0
"mandante",266,15.0
"mandante",267,11.0
"mandante",275,15.0
"mandante",276,13.0
"mandante",277,13.0
"mandante",282,10.0
"mandante",283,12.0
"mandante",284,13.0
"mandante",287,10.0
"mandante",292,18.0
"mandante",293,11.0
"mandante",294,11.0
"mandante",303,14.0
"mandante",314,4.0
"mandante",315,13.0
"mandante",373,10.0
"visitante",262,13.0
"visitante",263,6.0
"visitante",264,13.0
"visitante",265,7.0
"visitante",266,14.0
"visitante",267,10.0
"visitante",275,13.0
"visitante",276,9.0
"visitante",277,9.0
"visitante",282,9.0
"visitante",283,9.0
"visitante",284,22.0
"visitante",287,11.0
"visitante",292,12.0
"visitante",293,10.0
"visitante",294,10.0
"visitante",303,6.0
"visitante",314,6.0
"visitante",315,11.0
"visitante",373,6.0
"mandante",69,258
"visitante",69,206
