,rodada_id,clube_id,posicao
0,1,265,1
1,1,275,2
2,1,303,3
3,1,294,4
4,1,284,5
5,1,266,6
6,1,283,7
7,1,262,8
8,1,264,9
9,1,282,10
10,1,315,11
11,1,287,12
12,1,314,13
13,1,277,14
14,1,276,15
15,1,263,16
16,1,373,17
17,1,293,18
18,1,267,19
19,1,292,20
20,2,284,1
21,2,266,2
22,2,262,3
23,2,264,4
24,2,283,5
25,2,315,6
26,2,265,7
27,2,275,8
28,2,294,9
29,2,303,10
30,2,276,11
31,2,277,12
32,2,263,13
33,2,267,14
34,2,282,15
35,2,287,16
36,2,314,17
37,2,292,18
38,2,293,19
39,2,373,20
40,3,315,1
41,3,264,2
42,3,283,3
43,3,284,4
44,3,294,5
45,3,276,6
46,3,266,7
47,3,263,8
48,3,267,9
49,3,262,10
50,3,303,11
51,3,292,12
52,3,265,13
53,3,275,14
54,3,277,15
55,3,282,16
56,3,287,17
57,3,314,18
58,3,293,19
59,3,373,20
60,4,315,1
61,4,264,2
62,4,284,3
63,4,294,4
64,4,266,5
65,4,303,6
66,4,263,7
67,4,283,8
68,4,265,9
69,4,262,10
70,4,276,11
71,4,267,12
72,4,275,13
73,4,314,14
74,4,292,15
75,4,282,16
76,4,277,17
77,4,287,18
78,4,293,19
79,4,373,20
80,5,264,1
81,5,284,2
82,5,294,3
83,5,266,4
84,5,315,5
85,5,265,6
86,5,276,7
87,5,303,8
88,5,263,9
89,5,283,10
90,5,292,11
91,5,262,12
92,5,282,13
93,5,277,14
94,5,267,15
95,5,275,16
96,5,314,17
97,5,373,18
98,5,293,19
99,5,287,20
100,6,264,1
101,6,284,2
102,6,294,3
103,6,315,4
104,6,303,5
105,6,283,6
106,6,266,7
107,6,265,8
108,6,276,9
109,6,277,10
110,6,267,11
111,6,263,12
112,6,275,13
113,6,262,14
114,6,292,15
115,6,282,16
116,6,314,17
117,6,287,18
118,6,373,19
119,6,293,20
120,7,264,1
121,7,284,2
122,7,294,3
123,7,315,4
124,7,277,5
125,7,265,6
126,7,262,7
127,7,276,8
128,7,283,9
129,7,303,10
130,7,266,11
131,7,263,12
132,7,267,13
133,7,292,14
134,7,275,15
135,7,282,16
136,7,373,17
137,7,287,18
138,7,314,19
139,7,293,20
140,8,264,1
141,8,284,2
142,8,294,3
143,8,277,4
144,8,315,5
145,8,263,6
146,8,267,7
147,8,262,8
148,8,283,9
149,8,303,10
150,8,266,11
151,8,265,12
152,8,275,13
153,8,276,14
154,8,282,15
155,8,287,16
156,8,292,17
157,8,293,18
158,8,373,19
159,8,314,20
160,9,264,1
161,9,284,2
162,9,277,3
163,9,263,4
164,9,294,5
165,9,262,6
166,9,266,7
167,9,303,8
168,9,275,9
169,9,315,10
170,9,267,11
171,9,283,12
172,9,293,13
173,9,276,14
174,9,265,15
175,9,282,16
176,9,292,17
177,9,287,18
178,9,373,19
179,9,314,20
180,10,264,1
181,10,284,2
182,10,262,3
183,10,275,4
184,10,277,5
185,10,263,6
186,10,266,7
187,10,294,8
188,10,267,9
189,10,283,10
190,10,303,11
191,10,293,12
192,10,282,13
193,10,315,14
194,10,292,15
195,10,276,16
196,10,265,17
197,10,287,18
198,10,314,19
199,10,373,20
200,11,264,1
201,11,284,2
202,11,262,3
203,11,275,4
204,11,277,5
205,11,266,6
206,11,282,7
207,11,294,8
208,11,267,9
209,11,263,10
210,11,303,11
211,11,292,12
212,11,283,13
213,11,293,14
214,11,315,15
215,11,265,16
216,11,276,17
217,11,287,18
218,11,314,19
219,11,373,20
220,12,264,1
221,12,262,2
222,12,284,3
223,12,277,4
224,12,275,5
225,12,292,6
226,12,266,7
227,12,282,8
228,12,283,9
229,12,263,10
230,12,294,11
231,12,267,12
232,12,303,13
233,12,293,14
234,12,315,15
235,12,265,16
236,12,287,17
237,12,314,18
238,12,276,19
239,12,373,20
240,13,264,1
241,13,284,2
242,13,262,3
243,13,277,4
244,13,292,5
245,13,283,6
246,13,275,7
247,13,263,8
248,13,294,9
249,13,267,10
250,13,266,11
251,13,282,12
252,13,265,13
253,13,293,14
254,13,303,15
255,13,315,16
256,13,276,17
257,13,287,18
258,13,314,19
259,13,373,20
260,14,264,1
261,14,284,2
262,14,262,3
263,14,277,4
264,14,275,5
265,14,263,6
266,14,283,7
267,14,292,8
268,14,266,9
269,14,282,10
270,14,267,11
271,14,294,12
272,14,315,13
273,14,265,14
274,14,293,15
275,14,303,16
276,14,314,17
277,14,276,18
278,14,287,19
279,14,373,20
280,15,264,1
281,15,284,2
282,15,277,3
283,15,262,4
284,15,292,5
285,15,275,6
286,15,263,7
287,15,283,8
288,15,266,9
289,15,282,10
290,15,267,11
291,15,265,12
292,15,294,13
293,15,303,14
294,15,315,15
295,15,293,16
296,15,276,17
297,15,314,18
298,15,287,19
299,15,373,20
300,16,264,1
301,16,284,2
302,16,277,3
303,16,262,4
304,16,275,5
305,16,292,6
306,16,263,7
307,16,267,8
308,16,283,9
309,16,266,10
310,16,303,11
311,16,315,12
312,16,282,13
313,16,265,14
314,16,294,15
315,16,293,16
316,16,314,17
317,16,276,18
318,16,287,19
319,16,373,20
320,17,264,1
321,17,284,2
322,17,277,3
323,17,275,4
324,17,262,5
325,17,292,6
326,17,263,7
327,17,267,8
328,17,283,9
329,17,282,10
330,17,303,11
331,17,315,12
332,17,266,13
333,17,293,14
334,17,265,15
335,17,276,16
336,17,294,17
337,17,314,18
338,17,287,19
339,17,373,20
340,18,264,1
341,18,284,2
342,18,277,3
343,18,275,4
344,18,262,5
345,18,292,6
346,18,283,7
347,18,263,8
348,18,267,9
349,18,293,10
350,18,282,11
351,18,294,12
352,18,315,13
353,18,266,14
354,18,303,15
355,18,265,16
356,18,276,17
357,18,314,18
358,18,287,19
359,18,373,20
360,19,264,1
361,19,284,2
362,19,277,3
363,19,275,4
364,19,262,5
365,19,292,6
366,19,283,7
367,19,293,8
368,19,294,9
369,19,266,10
370,19,263,11
371,19,267,12
372,19,265,13
373,19,282,14
374,19,303,15
375,19,315,16
376,19,276,17
377,19,287,18
378,19,314,19
379,19,373,20
380,20,264,1
381,20,284,2
382,20,277,3
383,20,275,4
384,20,262,5
385,20,292,6
386,20,283,7
387,20,293,8
388,20,294,9
389,20,266,10
390,20,263,11
391,20,267,12
392,20,265,13
393,20,282,14
394,20,303,15
395,20,315,16
396,20,276,17
397,20,287,18
398,20,314,19
399,20,373,20
